id	organization	documents	citations	total link strength
9551	"faculty of medicine ramathibodi hospital, mahidol university, bangkok, thailand"	21	225	373
9552	"faculty of medicine, 6th october, egypt"	18	247	97
9554	"faculty of medicine, alexandria, egypt"	12	168	64
9559	"faculty of medicine, cairo, egypt"	34	917	175
9578	"faculty of medicine, minya, egypt"	21	331	114
9582	"faculty of medicine, pham ngoc thach university of medicine, ho chi minh city, viet nam"	10	252	47
9594	"faculty of medicine, tanta, egypt"	11	214	58
9600	"faculty of medicine, universitas udayana, bali, indonesia"	19	292	341
9606	"faculty of medicine, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	23	566	66
9629	"faculty of natural sciences, duy tan university, da nang, viet nam"	47	407	145
9666	"faculty of pharmaceutical sciences, tokushima bunri university, tokushima, japan"	28	861	28
9678	"faculty of pharmacy, lac hong university, bien hoa, viet nam"	12	144	40
9688	"faculty of pharmacy, ton-duc-thang university, ho chi minh city, viet nam"	14	114	25
9689	"faculty of pharmacy, university medicine and pharmacy, hue university, hue, viet nam"	19	403	28
9698	"faculty of physics and engineering physics, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam"	25	327	75
9712	"faculty of physics, trường đại học sư phạm hà nội, hanoi, viet nam"	12	240	24
9717	"faculty of physics, vietnam national university, hanoi, hanoi, viet nam"	57	838	115
9730	"faculty of public health, haiphong university, haiphong, viet nam"	14	133	87
9736	"faculty of public health, university medicine and pharmacy, hue university, hue, viet nam"	11	155	4
9737	"faculty of public health, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam"	15	280	39
9742	"faculty of radio-electronic engineering, le quy don technical university, hanoi, viet nam"	16	221	7
9817	"faculty of software and information science, iwate prefectural university, iwate district, japan"	55	3280	98
9846	"faculty of transportation mechanical engineering, university of danang, da nang, viet nam"	14	144	7
9869	"faculty of veterinary medicine, vietnam national university of agriculture, hanoi, viet nam"	29	401	52
9873	"faculty of veterinary science, prince of songkla university, hatyai, thailand"	10	48	12
9877	"faculty of water resources engineering, thuyloi university, hanoi, viet nam"	21	1040	47
10018	"forestry and forest products research institute, tsukuba, japan"	13	152	19
10033	"fpt university, hanoi, viet nam"	21	91	33
10089	"fukuoka institute of health and environmental sciences, dazaifu, japan"	10	161	5
