label	replace by
plant stress research group & faculty of applied sciences, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
posts and telecommunications institute of technology vietnam, hanoi, viet nam	POSTS AND TELECOMMUNICATIONS INSTITUTE OF TECHNOLOGY VIETNAM
quantum hadron physics laboratory, riken nishina center for accelerator-based science, wako, japan	RIKEN NISHINA CENTER FOR ACCELERATOR-BASED SCIENCE
queen elizabeth hospital hong kong, hong kong, china	QUEEN ELIZABETH HOSPITAL HONG KONG
ramathibodi hospital, bangkok, thailand	RAMATHIBODI HOSPITAL
regional research center, iwate prefectural university, iwate district, japan	IWATE PREFECTURAL UNIVERSITY
research and development center for precision medicine, university of tsukuba, tsukuba, japan	UNIVERSITY OF TSUKUBA
research and education center for prevention of global infectious diseases of animals, tokyo university of agriculture and technology, fuchu, japan	TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY
research center for nuclear physics (rcnp), the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
research center for nuclear physics, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
research center for water environment technology, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
research center for zoonosis control, hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
research faculty of agriculture, hokkaido university, sapporo, japan	HOKKAIDO UNIVERSITY
research group (environmental health), sumitomo chemical company, limited, tokyo, japan	RESEARCH GROUP (ENVIRONMENTAL HEALTH)
research institute for biotechnology and environment, nong lam university, ho chi minh city, ho chi minh city, viet nam	NONG LAM UNIVERSITY
research institute for health sciences, chaing mai, thailand	RESEARCH INSTITUTE
research institute for health sciences, chiang mai university, chiang mai, thailand	CHIANG MAI UNIVERSITY
research institute for sustainable humanosphere, uji, japan	RESEARCH INSTITUTE
research institute for tropical medicine, manila, philippines	RESEARCH INSTITUTE
research institute of natural sciences, okayama university of science, okayama, japan	UNIVERSITY OF SCIENCE
research institute, national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
research organization of information and systems national institute of informatics, tokyo, japan	RESEARCH ORGANIZATION OF INFORMATION AND SYSTEMS NATIONAL INSTITUTE OF INFORMATICS
reuse and management, vietnamese-german university, thu dau mot, viet nam	VIETNAMESE-GERMAN UNIVERSITY
riken (the institute of physical and chemical research), wako, japan	RIKEN (THE INSTITUTE OF PHYSICAL AND CHEMICAL RESEARCH)
riken center for sustainable resource science, yokohama, japan	RIKEN CENTER FOR SUSTAINABLE RESOURCE SCIENCE
riken nishina center for accelerator-based science, wako, japan	RIKEN NISHINA CENTER FOR ACCELERATOR-BASED SCIENCE
riken, wako, japan	JAPAN
ritsumeikan asia pacific university, beppu, japan	RITSUMEIKAN ASIA PACIFIC UNIVERSITY
ritsumeikan university biwako-kusatsu campus, kusatsu, japan	RITSUMEIKAN UNIVERSITY BIWAKO-KUSATSU CAMPUS
saitama university, saitama, japan	SAITAMA UNIVERSITY
school of archaeology and anthropology, the australian national university, canberra, australia	THE AUSTRALIAN NATIONAL UNIVERSITY
school of biotechnology and food technology, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of biotechnology, international university - vietnam national university hcm city, ho chi minh city, viet nam	VIETNAM NATIONAL UNIVERSITY
school of chemical engineering, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of chemistry and life sciences, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of computing, engineering and mathematics, university of brighton, brighton, united kingdom	UNIVERSITY OF BRIGHTON
school of education, can tho university, can tho, viet nam	CAN THO UNIVERSITY
school of electrical and electronic engineering, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of electronics and telecommunications, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of engineering physics, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of environmental science and technology, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of health sciences, sapporo medical university, sapporo, japan	SAPPORO MEDICAL UNIVERSITY
school of information and communication technology, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of knowledge science, japan advanced institute of science and technology, nomi, japan	JAPAN ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
school of materials science and engineering, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of materials science, japan advanced institute of science and technology, nomi, japan	JAPAN ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
school of mechanical and electrical engineering, university of southern queensland, toowoomba, australia	UNIVERSITY OF SOUTHERN QUEENSLAND
school of mechanical engineering, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of medicine and pharmacy, duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
school of medicine and pharmacy, university of danang, da nang, viet nam	UNIVERSITY OF DANANG
school of medicine and pharmacy, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
school of medicine, viet nam national university ho chi minh city, ho chi minh city, viet nam	VIET NAM NATIONAL UNIVERSITY HO CHI MINH CITY
school of public health, imperial college london, london, united kingdom	IMPERIAL COLLEGE LONDON
school of systems engineering, kochi university of technology, kami, japan	KOCHI UNIVERSITY
school of textile-leather and fashion, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of transportation engineering, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
school of tropical medicine and global health, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
sciences po paris, paris, france	SCIENCES PO PARIS
seoul national university, seoul, south korea	SEOUL NATIONAL UNIVERSITY
shibaura institute of technology, tokyo, japan	SHIBAURA INSTITUTE OF TECHNOLOGY
shizuoka university, shizuoka, japan	SHIZUOKA UNIVERSITY
signaling pathway research unit, riken center for sustainable resource science, yokohama, japan	RIKEN CENTER FOR SUSTAINABLE RESOURCE SCIENCE
silviculture research institute, vietnamese academy of forest sciences, hanoi, viet nam	SILVICULTURE RESEARCH INSTITUTE
siriraj hospital, bangkok, thailand	SIRIRAJ HOSPITAL
soete laboratory, universiteit gent, ghent, belgium	UNIVERSITEIT GENT
sorbonne université, paris, france	SORBONNE UNIVERSITÉ
southern institute of ecology, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
system emotional science, graduate school of medicine and pharmaceutical sciences, toyama, japan	GRADUATE SCHOOL OF MEDICINE
system emotional science, university of toyama, toyama, japan	UNIVERSITY OF TOYAMA
taipei veterans general hospital, taipei, taiwan	TAIPEI VETERANS GENERAL HOSPITAL
tan tock seng hospital, singapore city, singapore	TAN TOCK SENG HOSPITAL
technische universität darmstadt, darmstadt, germany	TECHNISCHE UNIVERSITÄT DARMSTADT
thai nguyen university of information and communication technology (ictu), thai nguyen, viet nam	THAI NGUYEN UNIVERSITY
thai nguyen university, thai nguyen, viet nam	THAI NGUYEN UNIVERSITY
thai red cross agency, bangkok, thailand	BANGKOK
the australian national university, canberra, australia	THE AUSTRALIAN NATIONAL UNIVERSITY
the foundation for aids research, bangkok, thailand	THE FOUNDATION FOR AIDS RESEARCH
the graduate university for advanced studies, hayama, japan	THE GRADUATE UNIVERSITY FOR ADVANCED STUDIES
the kirby institute, kensington, australia	THE KIRBY INSTITUTE
the kyoto university museum, kyoto, japan	KYOTO UNIVERSITY
the research institute of tuberculosis, japan anti-tuberculosis association, kiyose, japan	THE RESEARCH INSTITUTE OF TUBERCULOSIS
the united graduate school of veterinary science, yamaguchi university, yamaguchi, japan	YAMAGUCHI UNIVERSITY
the university of aizu, aizuwakamatsu, japan	THE UNIVERSITY OF AIZU
the university of edinburgh, edinburgh, united kingdom	THE UNIVERSITY OF EDINBURGH
the university of electro-communications, chofu, japan	THE UNIVERSITY OF ELECTRO-COMMUNICATIONS
the university of kitakyushu, kitakyushu, japan	THE UNIVERSITY OF KITAKYUSHU
the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
the university of queensland, brisbane, australia	THE UNIVERSITY OF QUEENSLAND
the university of sydney, sydney, australia	THE UNIVERSITY OF SYDNEY
the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
theoretical nuclear physics laboratory, riken nishina center for accelerator-based science, wako, japan	RIKEN NISHINA CENTER FOR ACCELERATOR-BASED SCIENCE
thuongmai university, hanoi, viet nam	THUONGMAI UNIVERSITY
thuyloi university, hanoi, viet nam	THUYLOI UNIVERSITY
tohoku university, sendai, japan	TOHOKU UNIVERSITY
tokyo university of agriculture and technology, fuchu, japan	TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY
tokyo university of marine science and technology, tokyo, japan	TOKYO UNIVERSITY OF MARINE SCIENCE AND TECHNOLOGY
tokyo university of science, tokyo, japan	UNIVERSITY OF SCIENCE
toyota physical and chemical research institute, nagakute, japan	RESEARCH INSTITUTE
toyota technological institute, nagoya, japan	TOYOTA TECHNOLOGICAL INSTITUTE
transdisciplinary science and engineering program, hiroshima university, higashihiroshima, japan	HIROSHIMA UNIVERSITY
tropical biosphere research center, university of the ryukyus, nishihara, japan	UNIVERSITY OF THE RYUKYUS
trường đại học giao thông vận tải, hanoi, viet nam	HANOI
trường đại học sư phạm hà nội, hanoi, viet nam	HANOI
universidad de granada, granada, spain	UNIVERSIDAD DE GRANADA
universitas indonesia, depok, indonesia	UNIVERSITAS INDONESIA
universitas indonesia, rsupn dr. cipto mangunkusumo, central jakarta, indonesia	UNIVERSITAS INDONESIA
universiti malaya, kuala lumpur, malaysia	UNIVERSITI MALAYA
universiti teknologi malaysia kuala lumpur, kuala lumpur, malaysia	UNIVERSITI TEKNOLOGI MALAYSIA
university college london hospitals nhs foundation trust, london, united kingdom	UNIVERSITY COLLEGE LONDON
university hawaii institute for astronomy, honolulu, united states	UNIVERSITY HAWAII INSTITUTE FOR ASTRONOMY
university medicine and pharmacy, hue university, hue, viet nam	UNIVERSITY MEDICINE AND PHARMACY
university of agriculture and forestry, hue university, hue, viet nam	UNIVERSITY OF AGRICULTURE AND FORESTRY
university of chinese academy of sciences, beijing, china	UNIVERSITY OF CHINESE ACADEMY OF SCIENCES
university of danang, da nang, viet nam	UNIVERSITY OF DANANG
university of economics ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF ECONOMICS HO CHI MINH CITY
university of finance - marketing, ho chi minh city, viet nam	UNIVERSITY OF FINANCE - MARKETING
university of malaya medical centre, kuala lumpur, malaysia	UNIVERSITY OF MALAYA MEDICAL CENTRE
university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
university of miyazaki, miyazaki, japan	UNIVERSITY OF MIYAZAKI
university of science and technology, university of danang, da nang, viet nam	UNIVERSITY OF SCIENCE
university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
university of sciences, hue university, hue, viet nam	UNIVERSITY OF SCIENCE
university of technology sydney, sydney, australia	UNIVERSITY OF TECHNOLOGY SYDNEY
university of the ryukyus, nishihara, japan	UNIVERSITY OF THE RYUKYUS
university of tsukuba, tsukuba, japan	UNIVERSITY OF TSUKUBA
university of virginia, charlottesville, united states	UNIVERSITY OF VIRGINIA
universität zu köln, koln, germany	UNIVERSITÄT ZU KÖLN
université de strasbourg, strasbourg, france	UNIVERSITÉ DE STRASBOURG
université paris-saclay, gif-sur-yvette, france	UNIVERSITÉ PARIS-SACLAY
vhs medical centre india, chennai, india	VHS MEDICAL CENTRE INDIA
viet nam national university ho chi minh city, ho chi minh city, viet nam	VIET NAM NATIONAL UNIVERSITY HO CHI MINH CITY
vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
vietnam atomic energy institute, hanoi, viet nam	VIETNAM ATOMIC ENERGY INSTITUTE
vietnam military medical university, hanoi, viet nam	VIETNAM MILITARY MEDICAL UNIVERSITY
vietnam national children's hospital, hanoi, viet nam	VIETNAM NATIONAL CHILDREN'S HOSPITAL
vietnam national museum of nature, hanoi, viet nam	HANOI
vietnam national museum of nature, vietnam academy of science and technology, hanoi, viet nam	VIETNAM ACADEMY OF SCIENCE AND TECHNOLOGY
vietnam national university institute of physics, ho chi minh city, viet nam	VIETNAM NATIONAL UNIVERSITY
vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
vietnam national university of forestry, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
vietnam research station, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
vietnamese academy of forest sciences, hanoi, viet nam	HANOI
vietnamese academy of science and technology institute of biotechnology, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF BIOTECHNOLOGY
vietnamese academy of science and technology institute of chemistry, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF CHEMISTRY
vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF ECOLOGY AND BIOLOGICAL RESOURCES
vietnamese academy of science and technology institute of information technology, hanoi, viet nam	HANOI
vietnamese academy of science and technology institute of materials science, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF MATERIALS SCIENCE
vietnamese academy of science and technology institute of mechanics, hanoi, viet nam	HANOI
vietnamese academy of science and technology institute of physics and electronics, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF PHYSICS AND ELECTRONICS
vietnamese academy of science and technology institute of tropical biology, dalat, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF TROPICAL BIOLOGY
vinuniversity, hanoi, viet nam	VINUNIVERSITY
viện khoa học và công nghệ tính toán, ho chi minh city, viet nam	HO CHI MINH CITY
vnu-university of medicine and pharmacy, hanoi, viet nam	HANOI
vnuhcm - university of information technology, ho chi minh city, viet nam	VNUHCM - UNIVERSITY OF INFORMATION TECHNOLOGY
waseda university, tokyo, japan	WASEDA UNIVERSITY
water resources research center, kyoto university, kyoto, japan	KYOTO UNIVERSITY
yamaguchi university, yamaguchi, japan	YAMAGUCHI UNIVERSITY
yokohama city university, yokohama, japan	YOKOHAMA CITY UNIVERSITY
yokohama national university, yokohama, japan	YOKOHAMA NATIONAL UNIVERSITY
đại học công nghệ giao thông vận tải, hanoi, viet nam	HANOI
đại học mở thành phố hồ chí minh, ho chi minh city, viet nam	HO CHI MINH CITY
