label	replace by
department of electrical engineering and information systems, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
department of electrical engineering, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
department of electrical engineering, shibaura institute of technology, tokyo, japan	SHIBAURA INSTITUTE OF TECHNOLOGY
department of electrical, gifu university, gifu, japan	GIFU UNIVERSITY
department of endoscopy, cho ray hospital, ho chi minh city, viet nam	CHO RAY HOSPITAL
department of engineering mechanics, hohai university, nanjing, china	HOHAI UNIVERSITY
department of environment and energy systems, shizuoka university, shizuoka, japan	SHIZUOKA UNIVERSITY
department of environmental and preventive medicine, oita university faculty of medicine, yufu, japan	OITA UNIVERSITY FACULTY OF MEDICINE
department of environmental engineering, daegu university, gyeongsan, south korea	DAEGU UNIVERSITY
department of environmental engineering, kyoto university, kyoto, japan	KYOTO UNIVERSITY
department of environmental health, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
department of environmental sciences, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of environmental sciences, okayama university, okayama, japan	OKAYAMA UNIVERSITY
department of environmental technology and management, hanoi university of civil engineering, hanoi, viet nam	HANOI UNIVERSITY OF CIVIL ENGINEERING
department of epidemiology and prevention, national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
department of epidemiology and public health, kanazawa medical university, kahoku, japan	KANAZAWA MEDICAL UNIVERSITY
department of food and nutrition, japan women's university, tokyo, japan	JAPAN WOMEN'S UNIVERSITY
department of food and post-harvest technology, hanoi university of science and technology, hanoi, viet nam	HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY
department of food technology, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of food technology, tien giang university, my tho city, viet nam	TIEN GIANG UNIVERSITY
department of forest vegetation, forestry and forest products research institute, tsukuba, japan	FORESTRY AND FOREST PRODUCTS RESEARCH INSTITUTE
department of functional chemistry, kyoto institute of technology, kyoto, japan	KYOTO INSTITUTE OF TECHNOLOGY
department of geography, tokyo metropolitan university, hachioji, japan	TOKYO METROPOLITAN UNIVERSITY
department of immunogenetics, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
department of immunology, vietnamese academy of science and technology institute of biotechnology, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF BIOTECHNOLOGY
department of infectious disease epidemiology, london school of hygiene & tropical medicine, london, united kingdom	LONDON
department of infectious diseases, bach mai hospital, hanoi, viet nam	BACH MAI HOSPITAL
department of infectious diseases, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
department of infectious diseases, national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
department of infectious diseases, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
department of infectious diseases, university of miyazaki faculty of medicine, miyazaki, japan	UNIVERSITY OF MIYAZAKI
department of internal medicine, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
department of internal medicine, yonsei university college of medicine, seoul, south korea	YONSEI UNIVERSITY COLLEGE OF MEDICINE
department of machinery and control systems, shibaura institute of technology, tokyo, japan	SHIBAURA INSTITUTE OF TECHNOLOGY
department of marine sciences and convergent technology, hanyang university erica campus, ansan, south korea	HANYANG UNIVERSITY ERICA CAMPUS
department of materials science and engineering, institute of science tokyo, tokyo, japan	INSTITUTE OF SCIENCE TOKYO
department of materials science and engineering, nagoya institute of technology, nagoya, japan	NAGOYA INSTITUTE OF TECHNOLOGY
department of materials science and technology, nagaoka university of technology, nagaoka, japan	NAGAOKA UNIVERSITY OF TECHNOLOGY
department of materials science, kyushu institute of technology, kitakyushu, japan	KYUSHU INSTITUTE OF TECHNOLOGY
department of materials science, university of tsukuba, tsukuba, japan	UNIVERSITY OF TSUKUBA
department of mathematics, meiji university, tokyo, japan	MEIJI UNIVERSITY
department of mathematics, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
department of mechanical engineering and science, kyoto university, kyoto, japan	KYOTO UNIVERSITY
department of mechanical engineering, nagaoka university of technology, nagaoka, japan	NAGAOKA UNIVERSITY OF TECHNOLOGY
department of mechanical engineering, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
department of medicine, siriraj hospital, bangkok, thailand	SIRIRAJ HOSPITAL
department of medicine, universiti malaya, kuala lumpur, malaysia	UNIVERSITI MALAYA
department of microbiology and immunology, pasteur institute in ho chi minh city, ho chi minh city, viet nam	PASTEUR INSTITUTE IN HO CHI MINH CITY
department of microbiology and immunology, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
department of microbiology, osaka institute of public health, osaka, japan	INSTITUTE OF PUBLIC HEALTH
department of molecular and environmental biotechnology, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
department of molecular and material sciences, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of molecular pathology, oita university faculty of medicine, yufu, japan	OITA UNIVERSITY FACULTY OF MEDICINE
department of nanotechnology for sustainable energy, kwansei gakuin university, nishinomiya, japan	KWANSEI GAKUIN UNIVERSITY
department of non-communicable disease control and nutrition, nha trang pasteur institute, khanh hoa province, viet nam	NHA TRANG PASTEUR INSTITUTE
department of nursing, komatsu university, komatsu, japan	KOMATSU UNIVERSITY
department of occupational health, hanoi medical university, hanoi, viet nam	HANOI MEDICAL UNIVERSITY
department of parasitology, vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
department of parasitology, vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF ECOLOGY AND BIOLOGICAL RESOURCES
department of pathobiological sciences, university of wisconsin school of veterinary medicine, madison, united states	UNIVERSITY OF WISCONSIN SCHOOL OF VETERINARY MEDICINE
department of pathobiological sciences, university of wisconsin-madison, madison, united states	UNIVERSITY OF WISCONSIN-MADISON
department of pathology, national institute of infectious diseases, tokyo, japan	NATIONAL INSTITUTE OF INFECTIOUS DISEASES
department of pathology, shiga university of medical science, otsu, japan	SHIGA UNIVERSITY OF MEDICAL SCIENCE
department of pathology, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
department of pathophysiology and host defense, the research institute of tuberculosis, japan anti-tuberculosis association, kiyose, japan	THE RESEARCH INSTITUTE OF TUBERCULOSIS
department of pediatrics, hanoi medical university, hanoi, viet nam	HANOI MEDICAL UNIVERSITY
department of pediatrics, nagasaki university hospital, nagasaki, japan	NAGASAKI UNIVERSITY
department of pediatrics, university of medicine and pharmacy at hcmc, ho chi minh city, viet nam	UNIVERSITY OF MEDICINE AND PHARMACY AT HCMC
department of physics and astronomy, kagoshima university, kagoshima, japan	KAGOSHIMA UNIVERSITY
department of physics and astronomy, seoul national university, seoul, south korea	SEOUL NATIONAL UNIVERSITY
department of physics and nanotechnology, srm institute of science and technology, kattankulathur, india	SCIENCE AND TECHNOLOGY
department of physics, ewha womans university, seoul, south korea	EWHA WOMANS UNIVERSITY
department of physics, hanoi university, hanoi, viet nam	HANOI
department of physics, ho chi minh city university of education, ho chi minh city, viet nam	HO CHI MINH CITY UNIVERSITY OF EDUCATION
department of physics, korea advanced institute of science and technology, daejeon, south korea	KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
department of physics, kyoto university, kyoto, japan	KYOTO UNIVERSITY
department of physics, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of physics, national tsing hua university, hsinchu, taiwan	NATIONAL TSING HUA UNIVERSITY
department of physics, sungkyunkwan university, seoul, south korea	SUNGKYUNKWAN UNIVERSITY
department of physics, the university of hong kong, hong kong, hong kong	THE UNIVERSITY OF HONG KONG
department of physics, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
department of physics, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
department of physics, tohoku university, sendai, japan	TOHOKU UNIVERSITY
department of physics, university of surrey, guildford, united kingdom	UNIVERSITY OF SURREY
department of physiology, vietnam military medical university, hanoi, viet nam	VIETNAM MILITARY MEDICAL UNIVERSITY
department of plant and soil science, texas tech university, lubbock, united states	TEXAS TECH UNIVERSITY
department of plant protection, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of plant resources, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
department of population and quantitative health sciences, university of massachusetts chan medical school, worcester, united states	UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL
